Time,Channel A,Channel B
(s),(V),(mA)

-100.00199890,9.92310524,-20.28789330
-99.99999894,9.92310524,-65.93257904
-99.99799898,9.92310524,5.06889725
-99.99599902,9.92310524,-3.37721443
-99.99399906,9.92310524,-30.43183899
-99.99199910,10.09165859,10.14394665
-99.98999914,10.09165859,-10.14394665
-99.98799918,10.09165859,-18.59621048
-99.98599922,9.92310524,-33.80905151
-99.98399926,10.09165859,0.00000000
-99.98199930,9.92310524,5.06889725
-99.97999934,9.92310524,-45.64468384
-99.97799938,9.92310524,18.59621048
-99.97599942,10.09165859,-20.28789330
-99.97399946,9.92310524,-23.66510773
-99.97199950,9.92310524,-16.90452576
-99.96999954,9.92310524,-10.14394665
-99.96799958,10.09165859,-3.37721443
-99.96599962,10.09165859,-55.78863144
-99.96399966,9.92310524,1.68553138
-99.96199970,9.92310524,-11.82947826
-99.95999974,9.92310524,-57.48031235
-99.95799978,9.92310524,13.52116013
-99.95599982,9.92310524,-5.06889725
-99.95399986,10.09165859,-3.37721443
-99.95199990,10.09165859,-16.90452576
-99.94999994,9.92310524,0.00000000
-99.94799998,9.92310524,-1.68553138
-99.94600002,10.09165859,-54.10309982
-99.94400006,9.92310524,8.45226288
-99.94200010,10.09165859,-10.14394665
-99.94000014,9.92310524,-42.26746750
-99.93800018,9.92310524,-15.21284389
-99.93600022,10.09165859,-10.14394665
-99.93400026,9.92310524,5.06889725
-99.93200030,10.09165859,-49.02804947
-99.93000034,10.09165859,0.00000000
-99.92800038,10.09165859,-8.45226288
-99.92600042,9.92310524,-59.17199326
-99.92400046,10.09165859,-3.37721443
-99.92200050,9.92310524,-11.82947826
-99.92000054,9.92310524,8.45226288
-99.91800058,9.92310524,5.06889725
-99.91600062,10.09165859,6.76058006
-99.91400066,9.92310524,-23.66510773
-99.91200070,9.92310524,-62.55536270
-99.91000074,9.92310524,-6.76058006
-99.90800078,9.92310524,-3.37721443
-99.90600082,9.92310524,-37.19242096
-99.90400086,10.09165859,5.06889725
-99.90200090,9.92310524,-8.45226288
-99.90000094,10.09165859,-23.66510773
-99.89800098,9.92310524,-6.76058006
-99.89600102,10.09165859,5.06889725
-99.89400106,10.09165859,-15.21284389
-99.89200110,10.09165859,-67.62425995
-99.89000114,10.09165859,20.28789330
-99.88800118,10.09165859,-18.59621048
-99.88600122,10.09165859,-8.45226288
-99.88400126,10.09165859,-5.06889725
-99.88200130,9.92310524,0.00000000
-99.88000134,10.09165859,-10.14394665
-99.87800138,9.92310524,-50.71973038
-99.87600142,9.92310524,-11.82947826
-99.87400146,10.09165859,-28.74015617
-99.87200150,10.09165859,-42.26746750
-99.87000154,9.92310524,18.59621048
-99.86800158,9.92310524,-15.21284389
-99.86600162,9.92310524,-21.97342300
-99.86400166,10.09165859,-15.21284389
-99.86200170,9.92310524,1.68553138
-99.86000174,10.09165859,-16.90452576
-99.85800178,9.92310524,-69.31594086
-99.85600182,10.09165859,-21.97342300
-99.85400186,9.92310524,-1.68553138
-99.85200190,10.09165859,-32.12352371
-99.85000194,9.92310524,16.90452576
-99.84800198,10.09165859,-6.76058006
-99.84600202,9.92310524,-6.76058006
-99.84400206,9.92310524,-35.50073624
-99.84200210,9.92310524,-1.68553138
-99.84000214,10.09165859,-27.04847336
-99.83800218,9.92310524,-69.31594086
-99.83600222,9.92310524,0.00000000
-99.83400226,10.09165859,1.68553138
-99.83200230,10.09165859,-10.14394665
-99.83000234,9.92310524,10.14394665
-99.82800238,10.09165859,-11.82947826
-99.82600242,10.09165859,-8.45226288
-99.82400246,9.92310524,-64.24704742
-99.82200250,9.92310524,6.76058006
-99.82000254,9.92310524,-3.37721443
-99.81800258,9.92310524,-25.35679054
-99.81600262,10.09165859,13.52116013
-99.81400266,9.92310524,-1.68553138
-99.81200270,10.09165859,-15.21284389
-99.81000274,9.92310524,-28.74015617
-99.80800278,9.92310524,-3.37721443
-99.80600282,10.09165859,-10.14394665
-99.80400286,10.09165859,-64.24704742
-99.80200290,9.92310524,16.90452576
-99.80000294,10.09165859,-6.76058006
