Time,Channel A,Channel B
(s),(V),(A)

-2.50009990,0.16793799,0.36343503
-2.50004990,-0.08396900,0.37189347
-2.49999990,0.00000000,0.36343503
-2.49994990,0.16793799,0.36343503
-2.49989990,0.00000000,0.38881031
-2.49984990,-0.08396900,0.39723796
-2.49979990,0.16793799,0.41415480
-2.49974990,0.16793799,0.42261317
-2.49969990,-0.16793799,0.43107158
-2.49964990,0.08396900,0.42261317
-2.49959990,0.16793799,0.42261317
-2.49954990,-0.16793799,0.42261317
-2.49949990,0.00000000,0.41415480
-2.49944990,0.16793799,0.40569636
-2.49939990,-0.08396900,0.41415480
-2.49934990,-0.08396900,0.40569636
-2.49929990,0.16793799,0.39723796
-2.49924990,0.00000000,0.39723796
-2.49919990,-0.16793799,0.42261317
-2.49914990,0.16793799,0.39723796
-2.49909990,0.16793799,0.39723796
-2.49904990,-0.08396900,0.40569636
-2.49899990,0.00000000,0.40569636
-2.49894990,0.16793799,0.41415480
-2.49889990,0.00000000,0.40569636
-2.49884990,-0.08396900,0.40569636
-2.49879990,0.16793799,0.41415480
-2.49874990,0.08396900,0.38881031
-2.49869990,-0.16793799,0.38035187
-2.49864990,0.16793799,0.37189347
-2.49859990,0.16793799,0.37189347
-2.49854990,-0.16793799,0.37189347
-2.49849990,0.00000000,0.35497662
-2.49844990,0.16793799,0.37189347
-2.49839990,-0.08396900,0.40569636
-2.49834990,0.00000000,0.40569636
-2.49829990,0.25221458,0.42261317
-2.49824990,0.00000000,0.43107158
-2.49819990,-0.16793799,0.43949926
-2.49814990,0.16793799,0.43107158
-2.49809990,0.08396900,0.43107158
-2.49804990,-0.08396900,0.43107158
-2.49799990,0.08396900,0.41415480
-2.49794990,0.25221458,0.42261317
-2.49789990,-0.08396900,0.43107158
-2.49784990,-0.08396900,0.42261317
-2.49779990,0.25221458,0.42261317
-2.49774990,0.00000000,0.43107158
-2.49769990,-0.08396900,0.41415480
-2.49764990,0.16793799,0.40569636
-2.49759990,0.08396900,0.41415480
-2.49754990,-0.16793799,0.40569636
-2.49749990,0.08396900,0.41415480
-2.49744990,0.16793799,0.40569636
-2.49739990,-0.08396900,0.41415480
-2.49734990,0.00000000,0.40569636
-2.49729990,0.16793799,0.39723796
-2.49724990,0.00000000,0.39723796
-2.49719990,-0.08396900,0.38881031
-2.49714990,0.25221458,0.37189347
-2.49709990,0.00000000,0.35497662
-2.49704990,-0.16793799,0.34651819
-2.49699990,0.08396900,0.35497662
-2.49694990,0.16793799,0.36343503
-2.49689990,-0.08396900,0.39723796
-2.49684990,-0.08396900,0.38035187
-2.49679990,0.25221458,0.41415480
-2.49674990,0.00000000,0.42261317
-2.49669990,-0.16793799,0.42261317
-2.49664990,0.16793799,0.43107158
-2.49659990,0.08396900,0.43107158
-2.49654990,-0.16793799,0.41415480
-2.49649990,0.00000000,0.41415480
-2.49644990,0.25221458,0.42261317
-2.49639990,-0.08396900,0.41415480
-2.49634990,0.00000000,0.40569636
-2.49629990,0.16793799,0.43107158
-2.49624990,0.08396900,0.41415480
-2.49619990,-0.16793799,0.42261317
-2.49614990,0.16793799,0.40569636
-2.49609990,0.16793799,0.40569636
-2.49604990,-0.16793799,0.40569636
-2.49599990,0.08396900,0.39723796
-2.49594990,0.16793799,0.41415480
-2.49589990,0.00000000,0.40569636
-2.49584990,-0.08396900,0.40569636
-2.49579990,0.25221458,0.40569636
-2.49574990,0.08396900,0.38881031
-2.49569990,-0.16793799,0.38881031
-2.49564990,0.08396900,0.38035187
-2.49559990,0.25221458,0.36343503
-2.49554990,-0.08396900,0.36343503
-2.49549990,0.00000000,0.36343503
-2.49544990,0.25221458,0.39723796
-2.49539990,-0.08396900,0.42261317
-2.49534990,-0.08396900,0.42261317
-2.49529990,0.25221458,0.42261317
-2.49524990,0.00000000,0.43949926
-2.49519990,-0.16793799,0.43107158
-2.49514990,0.16793799,0.44795766
-2.49509990,0.08396900,0.43949926
-2.49504990,-0.16793799,0.42261317
-2.49499990,0.16793799,0.43107158
-2.49494990,0.16793799,0.43107158
-2.49489990,-0.08396900,0.43107158
-2.49484990,0.00000000,0.42261317
-2.49479990,0.16793799,0.41415480
-2.49474990,0.00000000,0.41415480
-2.49469990,-0.08396900,0.40569636
-2.49464990,0.25221458,0.40569636
-2.49459990,0.08396900,0.39723796
-2.49454990,-0.16793799,0.39723796
-2.49449990,0.08396900,0.40569636
-2.49444990,0.16793799,0.40569636
-2.49439990,-0.08396900,0.40569636
-2.49434990,-0.08396900,0.38881031
-2.49429990,0.25221458,0.38035187
-2.49424990,0.00000000,0.37189347
-2.49419990,-0.16793799,0.37189347
-2.49414990,0.16793799,0.37189347
-2.49409990,0.08396900,0.36343503
-2.49404990,-0.08396900,0.35497662
-2.49399990,0.00000000,0.34651819
-2.49394990,0.25221458,0.38881031
-2.49389990,0.00000000,0.38881031
-2.49384990,-0.08396900,0.41415480
-2.49379990,0.16793799,0.41415480
-2.49374990,0.16793799,0.42261317
-2.49369990,-0.08396900,0.42261317
-2.49364990,0.00000000,0.43107158
-2.49359990,0.16793799,0.42261317
-2.49354990,0.00000000,0.41415480
-2.49349990,-0.08396900,0.43107158
-2.49344990,0.16793799,0.40569636
-2.49339990,0.00000000,0.41415480
-2.49334990,-0.16793799,0.41415480
-2.49329990,0.16793799,0.41415480
-2.49324990,0.08396900,0.43107158
-2.49319990,-0.16793799,0.42261317
-2.49314990,0.08396900,0.41415480
-2.49309990,0.16793799,0.42261317
-2.49304990,-0.08396900,0.41415480
-2.49299990,0.00000000,0.40569636
-2.49294990,0.25221458,0.41415480
-2.49289990,-0.08396900,0.41415480
-2.49284990,-0.08396900,0.41415480
-2.49279990,0.16793799,0.41415480
-2.49274990,0.08396900,0.39723796
-2.49269990,-0.16793799,0.38035187
-2.49264990,0.08396900,0.37189347
-2.49259990,0.16793799,0.36343503
-2.49254990,-0.16793799,0.35497662
-2.49249990,0.08396900,0.38881031
-2.49244990,0.25221458,0.38035187
-2.49239990,-0.08396900,0.40569636
-2.49234990,-0.08396900,0.42261317
-2.49229990,0.25221458,0.42261317
-2.49224990,0.00000000,0.43107158
-2.49219990,-0.08396900,0.42261317
-2.49214990,0.08396900,0.43107158
-2.49209990,0.16793799,0.41415480
-2.49204990,-0.16793799,0.41415480
-2.49199990,0.00000000,0.42261317
-2.49194990,0.16793799,0.43107158
-2.49189990,-0.16793799,0.43107158
-2.49184990,0.00000000,0.40569636
-2.49179990,0.16793799,0.42261317
-2.49174990,0.00000000,0.41415480
-2.49169990,-0.16793799,0.41415480
-2.49164990,0.08396900,0.41415480
-2.49159990,0.16793799,0.40569636
-2.49154990,-0.16793799,0.41415480
-2.49149990,0.08396900,0.41415480
-2.49144990,0.16793799,0.41415480
-2.49139990,-0.16793799,0.40569636
-2.49134990,0.00000000,0.41415480
-2.49129990,0.16793799,0.40569636
-2.49124990,0.08396900,0.39723796
-2.49119990,-0.16793799,0.37189347
-2.49114990,0.08396900,0.37189347
-2.49109990,0.08396900,0.35497662
-2.49104990,-0.16793799,0.36343503
-2.49099990,0.08396900,0.37189347
