cycle_idx,final_stage_name,stage2_rmse,stage2_mae,stage2_p95,stage2_p99,stage2_max_abs,shape_drift_rmse,shape_drift_mae,shape_drift_max_abs,shape_drift_mean_signed,shape_drift_std_signed,stage3b_rmse,stage3b_mae,stage3b_p95,stage3b_p99,stage3b_max_abs,R0_stage3b,thetaZ_l2_norm,thetaZ_max_abs,thetaZ_c0,R0_stage2,stage3a_rmse,stage3a_mae,stage3a_p95,stage3a_p99,stage3a_max_abs,stage3b_available,thetaZ_stage3b_l2_norm,thetaZ_stage3b_max_abs,thetaA_hat_1,thetaA_hat_2,thetaA_hat_3,thetaA_hat_4,thetaA_hat_5,thetaA_hat_6,thetaA_hat_7,Dn_over_Rn2,Dp_over_Rp2,De_over_eps_L1_sq,De_over_eps_L12_intf_sq,De_over_eps_L2_sq,De_over_eps_L23_intf_sq,De_over_eps_L3_sq,thetaB_hat_8,thetaB_hat_9,thetaB_hat_10,thetaB_hat_11
1,stage3b,0.0038966502278447506,0.003092896488179704,0.006408062074629517,0.00868909456167894,0.010398464521003792,0.0,0.0,0.0,0.0,0.0,0.008736346282057552,0.006361395882919458,0.021396691670876523,0.02419888290409666,0.02528854266365399,0.04874908042715478,0.8357396931491922,0.8334209327404468,-0.8334209327404468,0.04932492378755283,0.02317050261708244,0.02009067344899759,0.03390848437990035,0.05422044405767924,0.058719995096732536,True,0.8467055871050604,0.844967414346967,0.0011406530735153663,0.0011406530735153663,1.868600384993801,1.0252403917177326,2.6784056686298916,1.0252403917177326,1.868600384993801,0.0011406530735153663,0.0011406530735153663,1.868600384993801,1.0252403917177326,2.6784056686298916,1.0252403917177326,1.868600384993801,0.11572904765660907,-0.11572905047915842,0.29007016450633705,-0.29007016450633705
2,stage3b,0.005156268983020549,0.004189910314256366,0.00918783072749707,0.011474155622992093,0.014111894417632387,3.985786343254138e+73,1.3965563458751412e+73,1.8883584008396137e+74,1.349616919922582e+70,3.985786114758965e+73,0.010540605181668564,0.007199721834245455,0.026071276798860676,0.03294450542782667,0.03465871827407356,0.04799353249329342,1.137278415032983,1.1337722699880886,-1.1337722699880886,0.04882389812012796,0.034118070914231385,0.029109204212986475,0.057989912815971656,0.07407098750461845,0.08382576811580345,True,1.152911279766414,1.1502785194652616,0.0011378036136053136,0.0011378036136053136,1.87135405062641,1.0253722905011964,2.6831261875411,1.0253722905011964,1.87135405062641,0.0011378036136053136,0.0011378036136053136,1.87135405062641,1.0253722905011964,2.6831261875411,1.0253722905011964,1.87135405062641,0.1158254160562343,-0.11582543581701982,0.29104435296889514,-0.29104435296889514
3,stage3b,0.0059109252512158355,0.004638683361730782,0.009472742037198278,0.014692403366970811,0.017874304487717763,7.339172693683156e+73,2.5715287350702006e+73,3.4769925574089243e+74,2.3967819997143533e+70,7.339172302319963e+73,0.01183446178509545,0.007947713478119466,0.02755036046715076,0.03972521799320118,0.054413419289017995,0.047484340594493184,1.312964431079026,1.309450639089952,-1.309450639089952,0.048465955455778226,0.03626897940684122,0.030819045996073206,0.06675843905574785,0.07757850797278529,0.07826850551912767,True,1.3314221996746052,1.3288205100537485,0.0011479944771785949,0.0011479944771785949,1.8614999058963477,1.0249059707592603,2.666248961870597,1.0249059707592603,1.8614999058963477,0.0011479944771785949,0.0011479944771785949,1.8614999058963477,1.0249059707592603,2.666248961870597,1.0249059707592603,1.8614999058963477,0.11549222338889331,-0.11549224834836015,0.2875547554287006,-0.2875547554287006
4,stage3b,0.006036889253846948,0.004556674472549435,0.01011404085795542,0.01677835938347013,0.022563890889439442,7.344135230013202e+73,2.5732677902681428e+73,3.479369879159458e+74,2.420828319840986e+70,7.344134831027499e+73,0.012459290940654401,0.008033398169627406,0.023175791951927982,0.04523856551263245,0.05691483661275665,0.047430271275417574,1.4126583648400968,1.4085625691900185,-1.4085625691900185,0.04840962763683186,0.041639829873438415,0.034738120951109834,0.07014518056660446,0.09492485603988893,0.10062719140558274,True,1.4308081841986087,1.4277752662380052,0.0011336860929458913,0.0011336860929458913,1.875393839279096,1.025564166448002,2.690040273432182,1.025564166448002,1.875393839279096,0.0011336860929458913,0.0011336860929458913,1.875393839279096,1.025564166448002,2.690040273432182,1.025564166448002,1.875393839279096,0.11566878780398147,-0.11566880312562391,0.29247365971103856,-0.29247365971103856
5,stage3b,0.006193295228442301,0.004491377040294039,0.012585336474417952,0.0171084665081883,0.023556430976621634,9.924712186549801e+73,3.477460030724658e+73,4.701868789751817e+74,3.2073493668802006e+70,9.92471166829345e+73,0.016073748927250473,0.009212624409610518,0.03973888008379589,0.05806753994156704,0.06966780957188781,0.047225051989336575,1.462203874614164,1.4574600737636987,-1.4574600737636987,0.04839360248223974,0.044554978508667895,0.03763152545553851,0.06750673054719347,0.10443738322377177,0.11134513850889305,True,1.4838520785199265,1.4803690465996109,0.0011361680938993333,0.0011361680938993333,1.8728131963281878,1.0254500557908126,2.6856622222761635,1.0254500557908126,1.8728131963281878,0.0011361680938993333,0.0011361680938993333,1.8728131963281878,1.0254500557908126,2.6856622222761635,1.0254500557908126,1.8728131963281878,0.1159603015849023,-0.11596030140134912,0.2915572831155674,-0.2915572831155674
6,stage3b,0.0066543644358543486,0.004773941790850501,0.012384814844241173,0.020027581106110512,0.026684390834832206,8.072926927954295e+73,2.828624891044207e+73,3.824652771360156e+74,2.6711343941398256e+70,8.072926486047708e+73,0.014827258434155938,0.009848437247848415,0.03462011127121865,0.05163514026500954,0.061949703648453536,0.04678363677629064,1.5372912737261033,1.531732691571678,-1.531732691571678,0.04812665678785608,0.04175775870480221,0.03616533661681398,0.06633946025392373,0.0753669815506458,0.08861707017603304,True,1.5623196374858457,1.5582044413884948,0.0011299998531257198,0.0011299998531257198,1.8790448010557297,1.0257375987696498,2.696285036504065,1.0257375987696498,1.8790448010557297,0.0011299998531257198,0.0011299998531257198,1.8790448010557297,1.0257375987696498,2.696285036504065,1.0257375987696498,1.8790448010557297,0.11537595729496997,-0.11537596020566675,0.293764864128812,-0.293764864128812
7,stage3b,0.007182989037907519,0.0052023696598420596,0.01296250780769026,0.020319774216234595,0.02619041412749934,1.4378027051346552e+74,5.0378302608029455e+73,6.811656112438615e+74,4.6552491210943833e+70,1.4378026297719337e+74,0.01640463194876535,0.011124908072750947,0.036643154335002315,0.054542543510226,0.05605811355279289,0.04665783227330056,1.5571107958568642,1.550933477177924,-1.550933477177924,0.04811597125260872,0.04914465643468219,0.041885978102401966,0.07622972927576122,0.10691351018544495,0.11627857733667968,True,1.5842755831211137,1.5797094125011988,0.001131577727754046,0.001131577727754046,1.8774803629558203,1.0256631388244672,2.693608970475382,1.0256631388244672,1.8774803629558203,0.001131577727754046,0.001131577727754046,1.8774803629558203,1.0256631388244672,2.693608970475382,1.0256631388244672,1.8774803629558203,0.11526438964107409,-0.11526440403309363,0.2932116985470132,-0.2932116985470132
8,stage3b,0.007204451606989325,0.0051941043716613655,0.014213620307223618,0.0244772461615322,0.03266351516741439,1.014741941606453e+74,3.5554941641357444e+73,4.807493032758023e+74,3.3731191203610745e+70,1.0147418855432686e+74,0.014885379560551358,0.010031879666811938,0.02627844330711837,0.056981949992952405,0.06812849633999718,0.04649644637358791,1.6047258381481582,1.5985118355183061,-1.5985118355183061,0.04790343350641982,0.0512268817872075,0.042373993909814486,0.07936796490229447,0.12203695176969262,0.14019565700459213,True,1.630983841683441,1.6263469456869755,0.0011162452935336725,0.0011162452935336725,1.8924967356859816,1.0264047262945324,2.7193872262762286,1.0264047262945324,1.8924967356859816,0.0011162452935336725,0.0011162452935336725,1.8924967356859816,1.0264047262945324,2.7193872262762286,1.0264047262945324,1.8924967356859816,0.11622328930007195,-0.11622328130802044,0.29850654213174327,-0.29850654213174327
9,stage3b,0.007583451949027026,0.00550793939690641,0.014718367100793994,0.02124125351911113,0.027958328877851102,1.7164186003885437e+74,6.014055615041384e+73,8.131602452919948e+74,5.549422386874555e+70,1.7164185106782317e+74,0.01780807585818944,0.012086702063691387,0.039534332100456204,0.05783615322190412,0.058096071209926214,0.0463816446457786,1.6254900332784885,1.6186926002294126,-1.6186926002294126,0.0479951011554375,0.05354897082526114,0.04538960302887539,0.08359217719392364,0.11658457302439519,0.1283766381664293,True,1.6555494148928573,1.6506327702660202,0.0011132391574741076,0.0011132391574741076,1.8955586607664265,1.0265528633981569,2.724621723913253,1.0265528633981569,1.8955586607664265,0.0011132391574741076,0.0011132391574741076,1.8955586607664265,1.0265528633981569,2.724621723913253,1.0265528633981569,1.8955586607664265,0.11506538651897132,-0.11506543526907861,0.2995864817974999,-0.2995864817974999
10,stage3b,0.01928520290067625,0.015772388335815495,0.03715828979463942,0.04865808678416037,0.05716751419786448,1.1051830177081011e+74,3.872381374037498e+73,5.235562622341053e+74,3.338049698455363e+70,1.1051829672975544e+74,0.03171741301796179,0.02153727962542345,0.056635663200123254,0.09471300192536153,0.14487132910874057,0.04601306491280995,1.6495575638218538,1.643584330957843,-1.643584330957843,0.04792659150745777,0.066420083457752,0.05742320468280802,0.09825444834863184,0.1563658122743694,0.17315312588648046,True,1.6857647643558495,1.6816157539143035,0.001150665778134387,0.001150665778134387,1.858939212157203,1.0247858626448436,2.66186347988873,1.0247858626448436,1.858939212157203,0.001150665778134387,0.001150665778134387,1.858939212157203,1.0247858626448436,2.66186347988873,1.0247858626448436,1.858939212157203,0.11121879896168849,-0.11121881333588254,0.2866469792131312,-0.2866469792131312
