cycle_idx,final_stage_name,stage2_rmse,stage2_mae,stage2_p95,stage2_p99,stage2_max_abs,shape_drift_rmse,shape_drift_mae,shape_drift_max_abs,shape_drift_mean_signed,shape_drift_std_signed,stage3b_rmse,stage3b_mae,stage3b_p95,stage3b_p99,stage3b_max_abs,R0_stage3b,thetaZ_l2_norm,thetaZ_max_abs,thetaZ_c0,R0_stage2,stage3a_rmse,stage3a_mae,stage3a_p95,stage3a_p99,stage3a_max_abs,stage3b_available,thetaZ_stage3b_l2_norm,thetaZ_stage3b_max_abs,thetaA_hat_1,thetaA_hat_2,thetaA_hat_3,thetaA_hat_4,thetaA_hat_5,thetaA_hat_6,thetaA_hat_7,Dn_over_Rn2,Dp_over_Rp2,De_over_eps_L1_sq,De_over_eps_L12_intf_sq,De_over_eps_L2_sq,De_over_eps_L23_intf_sq,De_over_eps_L3_sq,thetaB_hat_8,thetaB_hat_9,thetaB_hat_10,thetaB_hat_11
1,stage3b,0.0038966502278447,0.0030928964881797,0.0064080620746295,0.0086890945616789,0.0103984645210037,0.0,0.0,0.0,0.0,0.0,0.0087363462820575,0.0063613958829194,0.0213966916708765,0.0241988829040966,0.0252885426636539,0.0487490804271547,0.8357396931491922,0.8334209327404468,-0.8334209327404468,0.0493249237875528,0.0231705026170824,0.0200906734489975,0.0339084843799003,0.0542204440576792,0.0587199950967325,True,0.8467055871050604,0.844967414346967,0.0011406530735153,0.0011406530735153,1.868600384993801,1.0252403917177326,2.678405668629892,1.0252403917177326,1.868600384993801,0.0011406530735153,0.0011406530735153,1.868600384993801,1.0252403917177326,2.678405668629892,1.0252403917177326,1.868600384993801,0.115729047656609,-0.1157290504791584,0.290070164506337,-0.290070164506337
2,stage3b,0.0051562689830205,0.0041899103142563,0.009187830727497,0.011474155622992,0.0141118944176323,3.985786343254138e+73,1.3965563458751412e+73,1.8883584008396135e+74,1.349616919922582e+70,3.985786114758965e+73,0.0105406051816685,0.0071997218342454,0.0260712767988606,0.0329445054278266,0.0346587182740735,0.0479935324932934,1.137278415032983,1.1337722699880886,-1.1337722699880886,0.0488238981201279,0.0341180709142313,0.0291092042129864,0.0579899128159716,0.0740709875046184,0.0838257681158034,True,1.152911279766414,1.1502785194652616,0.0011378036136053,0.0011378036136053,1.87135405062641,1.0253722905011964,2.6831261875411,1.0253722905011964,1.87135405062641,0.0011378036136053,0.0011378036136053,1.87135405062641,1.0253722905011964,2.6831261875411,1.0253722905011964,1.87135405062641,0.1158254160562343,-0.1158254358170198,0.2910443529688951,-0.2910443529688951
3,stage3b,0.0059109252512158,0.0046386833617307,0.0094727420371982,0.0146924033669708,0.0178743044877177,7.339172693683156e+73,2.571528735070201e+73,3.4769925574089243e+74,2.3967819997143533e+70,7.339172302319963e+73,0.0118344617850954,0.0079477134781194,0.0275503604671507,0.0397252179932011,0.0544134192890179,0.0474843405944931,1.312964431079026,1.309450639089952,-1.309450639089952,0.0484659554557782,0.0362689794068412,0.0308190459960732,0.0667584390557478,0.0775785079727852,0.0782685055191276,True,1.3314221996746052,1.3288205100537485,0.0011479944771785,0.0011479944771785,1.861499905896348,1.0249059707592605,2.666248961870597,1.0249059707592605,1.861499905896348,0.0011479944771785,0.0011479944771785,1.861499905896348,1.0249059707592605,2.666248961870597,1.0249059707592605,1.861499905896348,0.1154922233888933,-0.1154922483483601,0.2875547554287006,-0.2875547554287006
4,stage3b,0.0060368892538469,0.0045566744725494,0.0101140408579554,0.0167783593834701,0.0225638908894394,7.344135230013202e+73,2.5732677902681428e+73,3.479369879159458e+74,2.420828319840986e+70,7.344134831027499e+73,0.0124592909406544,0.0080333981696274,0.0231757919519279,0.0452385655126324,0.0569148366127566,0.0474302712754175,1.4126583648400968,1.4085625691900183,-1.4085625691900183,0.0484096276368318,0.0416398298734384,0.0347381209511098,0.0701451805666044,0.0949248560398889,0.1006271914055827,True,1.430808184198609,1.4277752662380052,0.0011336860929458,0.0011336860929458,1.875393839279096,1.025564166448002,2.690040273432182,1.025564166448002,1.875393839279096,0.0011336860929458,0.0011336860929458,1.875393839279096,1.025564166448002,2.690040273432182,1.025564166448002,1.875393839279096,0.1156687878039814,-0.1156688031256239,0.2924736597110385,-0.2924736597110385
5,stage3b,0.0061932952284423,0.004491377040294,0.0125853364744179,0.0171084665081883,0.0235564309766216,9.9247121865498e+73,3.4774600307246576e+73,4.701868789751817e+74,3.207349366880201e+70,9.924711668293449e+73,0.0160737489272504,0.0092126244096105,0.0397388800837958,0.058067539941567,0.0696678095718878,0.0472250519893365,1.462203874614164,1.457460073763699,-1.457460073763699,0.0483936024822397,0.0445549785086678,0.0376315254555385,0.0675067305471934,0.1044373832237717,0.111345138508893,True,1.4838520785199265,1.4803690465996109,0.0011361680938993,0.0011361680938993,1.872813196328188,1.0254500557908126,2.6856622222761635,1.0254500557908126,1.872813196328188,0.0011361680938993,0.0011361680938993,1.872813196328188,1.0254500557908126,2.6856622222761635,1.0254500557908126,1.872813196328188,0.1159603015849023,-0.1159603014013491,0.2915572831155674,-0.2915572831155674
6,stage3b,0.0066543644358543,0.0047739417908505,0.0123848148442411,0.0200275811061105,0.0266843908348322,8.072926927954295e+73,2.828624891044207e+73,3.824652771360156e+74,2.671134394139826e+70,8.072926486047707e+73,0.0148272584341559,0.0098484372478484,0.0346201112712186,0.0516351402650095,0.0619497036484535,0.0467836367762906,1.5372912737261033,1.531732691571678,-1.531732691571678,0.048126656787856,0.0417577587048022,0.0361653366168139,0.0663394602539237,0.0753669815506458,0.088617070176033,True,1.5623196374858457,1.5582044413884948,0.0011299998531257,0.0011299998531257,1.8790448010557297,1.0257375987696498,2.696285036504065,1.0257375987696498,1.8790448010557297,0.0011299998531257,0.0011299998531257,1.8790448010557297,1.0257375987696498,2.696285036504065,1.0257375987696498,1.8790448010557297,0.1153759572949699,-0.1153759602056667,0.293764864128812,-0.293764864128812
7,stage3b,0.0071829890379075,0.005202369659842,0.0129625078076902,0.0203197742162345,0.0261904141274993,1.4378027051346552e+74,5.0378302608029455e+73,6.811656112438615e+74,4.6552491210943833e+70,1.4378026297719335e+74,0.0164046319487653,0.0111249080727509,0.0366431543350023,0.054542543510226,0.0560581135527928,0.0466578322733005,1.5571107958568642,1.550933477177924,-1.550933477177924,0.0481159712526087,0.0491446564346821,0.0418859781024019,0.0762297292757612,0.1069135101854449,0.1162785773366796,True,1.5842755831211135,1.5797094125011988,0.001131577727754,0.001131577727754,1.8774803629558203,1.0256631388244672,2.693608970475382,1.0256631388244672,1.8774803629558203,0.001131577727754,0.001131577727754,1.8774803629558203,1.0256631388244672,2.693608970475382,1.0256631388244672,1.8774803629558203,0.115264389641074,-0.1152644040330936,0.2932116985470132,-0.2932116985470132
8,stage3b,0.0072044516069893,0.0051941043716613,0.0142136203072236,0.0244772461615322,0.0326635151674143,1.0147419416064529e+74,3.5554941641357444e+73,4.807493032758023e+74,3.3731191203610745e+70,1.0147418855432685e+74,0.0148853795605513,0.0100318796668119,0.0262784433071183,0.0569819499929524,0.0681284963399971,0.0464964463735879,1.6047258381481582,1.598511835518306,-1.598511835518306,0.0479034335064198,0.0512268817872075,0.0423739939098144,0.0793679649022944,0.1220369517696926,0.1401956570045921,True,1.630983841683441,1.6263469456869757,0.0011162452935336,0.0011162452935336,1.8924967356859816,1.0264047262945324,2.7193872262762286,1.0264047262945324,1.8924967356859816,0.0011162452935336,0.0011162452935336,1.8924967356859816,1.0264047262945324,2.7193872262762286,1.0264047262945324,1.8924967356859816,0.1162232893000719,-0.1162232813080204,0.2985065421317432,-0.2985065421317432
9,stage3b,0.007583451949027,0.0055079393969064,0.0147183671007939,0.0212412535191111,0.0279583288778511,1.7164186003885435e+74,6.014055615041384e+73,8.131602452919948e+74,5.549422386874555e+70,1.7164185106782315e+74,0.0178080758581894,0.0120867020636913,0.0395343321004562,0.0578361532219041,0.0580960712099262,0.0463816446457786,1.6254900332784885,1.6186926002294126,-1.6186926002294126,0.0479951011554375,0.0535489708252611,0.0453896030288753,0.0835921771939236,0.1165845730243951,0.1283766381664293,True,1.6555494148928571,1.6506327702660202,0.0011132391574741,0.0011132391574741,1.8955586607664263,1.0265528633981569,2.724621723913253,1.0265528633981569,1.8955586607664263,0.0011132391574741,0.0011132391574741,1.8955586607664263,1.0265528633981569,2.724621723913253,1.0265528633981569,1.8955586607664263,0.1150653865189713,-0.1150654352690786,0.2995864817974999,-0.2995864817974999
10,stage3b,0.0192852029006762,0.0157723883358154,0.0371582897946394,0.0486580867841603,0.0571675141978644,1.1051830177081011e+74,3.872381374037498e+73,5.235562622341052e+74,3.338049698455363e+70,1.1051829672975544e+74,0.0317174130179617,0.0215372796254234,0.0566356632001232,0.0947130019253615,0.1448713291087405,0.0460130649128099,1.6495575638218538,1.643584330957843,-1.643584330957843,0.0479265915074577,0.066420083457752,0.057423204682808,0.0982544483486318,0.1563658122743694,0.1731531258864804,True,1.6857647643558495,1.6816157539143035,0.0011506657781343,0.0011506657781343,1.858939212157203,1.0247858626448436,2.66186347988873,1.0247858626448436,1.858939212157203,0.0011506657781343,0.0011506657781343,1.858939212157203,1.0247858626448436,2.66186347988873,1.0247858626448436,1.858939212157203,0.1112187989616884,-0.1112188133358825,0.2866469792131312,-0.2866469792131312
